     8
    1 0   0.00    1  0  0    1  0  0
    3 0  60.00    1  1  1    1  1  1
    5 0  36.87    1  0  0    0  2  1
    7 0  38.21    1  1  1    1  2 -3
    9 0  38.94    1  1  0    1 -1  2
   11 0  50.48    1  1  0    2 -2  3
   13 1  22.62    1  0  0    0  3  2
   13 2  27.80    1  1  1    1  3 -4
   15 0  48.19    2  1  0
   17 1  28.07    1  0  0
   17 2  61.93    2  2  1
   19 1  26.53    1  1  0
   19 2  46.83    1  1  1
   21 1  21.79    1  1  1
   21 2  44.40    2  1  1
   23 0  40.45    3  1  1
   25 1  16.26    1  0  0
   25 2  51.68    3  3  1  stary : 3  1  1
   27 1  31.59    1  1  0
   27 2  35.43    2  1  0
   29 1  43.60    1  0  0
   29 2  46.39    2  2  1
   31 1  17.90    1  1  1
   31 2  52.20    2  1  1
   33 1  20.05    1  1  0
   33 2  33.55    2  1  1
   33 3  58.98    1  1  0
   35 1  34.04    2  1  1
   35 2  43.23    3  3  1
   37 1  18.92    1  0  0
   37 2  43.14    3  1  0
   37 3  50.57    1  1  1
   39 1  32.21    1  1  1
   39 2  50.13    3  2  1
   41 1  12.68    1  0  0   stary : 1  1  0
   41 2  40.88    2  1  0
   41 3  55.88    1  1  0
   43 1  15.18    1  1  1
   43 2  27.91    2  1  0
   43 3  60.77    3  3  2
   45 1  28.62    3  1  1
   45 2  36.87    2  2  1
   45 3  53.13    2  2  1
   47 1  37.07    3  3  1
   47 2  43.66    3  2  0
   49 1  43.58    1  1  1
   49 2  43.58    5  1  1
   49 3  49.22    3  2  2
   51 1  16.10    1  1  0  ???
   51 2  22.84    1  1  0  ???
   51 3  48.94    5  3  1

